id,title,description,type,repeatable,rewards,requiredItems,objectives,notes
fortune-teller-q1,早口言葉,ああ、ミミックの舌…悪意に満ち、しかし無限の可能性を秘めている。その醜悪な生命力が手のひらで脈打つ…まさに完全な媒介だ。近くに立ちなさい、冒険者よ、してその幕が引かれるのを目撃せよ。病んだ者たちはその肉体に刻まれたルーンを持ち、舌は口から引き裂かれている。彼らは殻となり意思は奪われ、やがて死ぬ。まるで最初から生きていなかったかのように。死者は語った。闇が動き出す、冒険者よ。進がいい。真実はその代償を求めるだろう。,納品,FALSE,gold-coin*30|arcane-essence*2,mimic-tongue*1,ミミックの舌:0:1,
fortune-teller-q2,未知の予兆,ああ…まだ目は光を宿し、その表面は血でぬれている。獣の血はまだ乾いていない…だが、それが良い。魔力がまだその本質に宿っている。しかし、その奥深くを見つめると、視界は依然として断片的で、まるで砕けたガラスのようだ。真実はまだ隠され、認識の端を搔きむしるかのように漂っている。近くにいろ、冒険者…未知が待ち受けている。,納品,FALSE,gold-coin*30|uncommon-armor*1,blue-eyeballs*1,氷狼の眼球:0:1,
fortune-teller-q3,死者の声,よくやった。その耳は今も不自然な共鳴を響かせている。まるで周囲の静けさを吸い込んでいるかのようだ。すでに、長い間沈黙していた声のかすかな触れ合いを、私の思考に感じ始めている。しかし、その声は依然として不明瞭で、形を持たぬ謎のままだ。この繋がりをさらに強めなければならない。死者たちはただ聞かれるだけでは満足せず、やがて交信を求めるだろう。星々が我らに味方することを願おう。,納品,FALSE,gold-coin*30|uncommon-weapon*1,giant-bat-ear*1,巨大コウモリの耳:0:1,
fortune-teller-q4,明かりを消して,あなたは本当にそこに影を生き生きとさせました…そして、あなたを追っていた人たちは、彼らに何が起こるかさえ見えなかったに違いありません！,操作,FALSE,gold-coin*75|uncommon-weapon*1|uncommon-armor*1,,たいまつの操作をする:0:10,ダンジョンタイプ:忘れられた城|１試合中
fortune-teller-q5,運命の網,これで彼らに見せつけられるはずです！あの呪われた城のホールに蜘蛛が出没するという話はもう聞かないでしょう…改めて、ご尽力に感謝いたします。,破壊,FALSE,gold-coin*75|uncommon-armor*2,,蜘蛛の壺を破壊する:0:7,ダンジョンタイプ:忘れられた城
fortune-teller-q6,コウモリのようにいわれてる,ついに！かなり時間がかかりましたね！貴方が無傷のままであることを祈ります。いずれにせよ、これでうまくいくはずです。,納品,FALSE,gold-coin*75|uncommon-weapon*2,torn-bat-wing*1,ちぎれたコウモリの翼:0:1,
fortune-teller-q7,呪われし者の反射,ふむ。不穏な光景が姿を現した。魔法の鏡に映された守護者…箱の中にいる者。呪いを宿す影を見守っているようだ。冒険者よ、その生き物を探し出し、隠された真実を暴き出せ。だが、用心せよ。この寒さは、お前の想像以上に多くのものを覆い隠している。,納品,FALSE,gold-coin*125|rare-armor*2,armillary-sphere*1|crystal-ball*1,渾天儀:0:2|クリスタルボール:0:1,
fortune-teller-q8,箱のブレスレット,つまりコボルトはより大いなる目的…すなわち、魔法と残酷さで鍛えられた鏡に仕えているのだ。守護者はただの生き物ではない。それは力の化身であり、呪いの秘密を永遠に封じるため、縛られし存在なのだ。これは、私たちが他の者たちから聞き集めた知識と一致するが…彼らもまた、その真相の断片しか理解していない。お前が発見した祭壇…つまりは儀式の一部だ。,探索・納品,FALSE,gold-coin*125|rare-armor*1|arcane-essence*2,primitive-bracelet*1,原始的なブレスレット:0:4,ダンジョンタイプ:氷晶洞窟
fortune-teller-q9,真実のための血,終わりました。祭壇はあなたが引き裂いたものの、血に染まった真実の断片で悲鳴を上げています。今、はっきりとわかりました。呪いの起源は肉や石ではなく、私たちの理解を超えた力にあります。私たちが発見した答えは、これから起こることのささやきにすぎません。あなたはほとんどの人が踏み入れることのない道を歩んできましたが、旅はまだ終わっていません。,操作,FALSE,gold-coin*125|rare-weapon*2,,復活の祭壇の操作をする:0:4,ダンジョンタイプ:氷晶洞窟
fortune-teller-q10,ドリームキャッチャー,こいつはまさにトリックだな！これらの夢を捕まえることで、その秘密が解き明かされ、もしかしたら君にも大きな幸運が訪れるかもしれない。,納品,FALSE,gold-coin*150|rare-weapon*2,frosted-feather*1|glowing-blue-ice-eyes*1,凍った羽根:0:1|青く光る氷の眼:0:2,
fortune-teller-q11,自らの運,そう！これが、向こう側を垣間見るのに必要なものなの…ああ、これも！持って行って。,使用・納品,FALSE,gold-coin*150|epic-armor*2,wendigo's-hoof*1,ウェンディゴの蹄:0:1,ダンジョンタイプ:氷晶洞窟
fortune-teller-q12,凍てつく幸運,宝は最初から君のものだったんだ。私を信頼してくれて良かっただろう？君は特別なんだ。他の誰も案内しないよ。,操作,FALSE,gold-coin*150|epic-armor*1,,財宝の山の操作をする:0:3,ダンジョンタイプ:氷晶洞窟
fortune-teller-q13,神秘的なつる,ふぅむ…ここには強烈な気配が漂っているな。波の音、そして残されたかすかな痕跡…もしかしたらこの先に進めば、それを感じ取れるかもしれない。だが今は、私はこれを使ってできることをしなければ。まだ見ぬ道を探し求めて…。,納品,FALSE,gold-coin*150|rare-weapon*1|epic-armor*1|arcane-essence*2,saltvine*1,ソルトヴァイン:0:6,
fortune-teller-q14,祝福の痕跡,ふぅむ…これはとても古い魔法だ。首飾りと破片には似たような痕跡が残っている。この魔法は持ち主を守り、信頼の絆を強める。部族を一つに結びつけるのにうってつけのようだ。だが、もっと詳しくお話しするには、更なる調査が必要だ。,納品,FALSE,gold-coin*150|epic-armor*1,etched-wand-fragment*1|seaweed-necklace*1,刻印された杖の断片:0:1|海藻のネックレス:0:3,
fortune-teller-q15,深海の審判者,ホホジロザメは海の守護者であり、審判者でもある。もしこの海域で冒険を続けるつもりなら、彼らには用心しなければならない。この怪物は、自らの領域に踏み入る者には容赦しない。牙を剥く前に仕留める。君ならできると信じている。星々が君の行く手を照らしている。さあ、冒険者よ…勝利の戦利品を持ってきてくれ。,納品,FALSE,gold-coin*150|epic-weapon*1|epic-armor*1|arcane-essence*2,white-shark-fin*1|white-shark-hide*1|white-shark-tooth*1,ホホジロザメのヒレ:0:1|ホホジロザメの皮:0:1|ホホジロザメの歯:0:1,
