id,title,description,type,repeatable,rewards,requiredItems,objectives,notes
collector-q1,凍傷の追跡,素晴らしい。今はゆっくり休んでくれ。続きの準備ができたら、すぐに会いに来てくれ。まだ終わってないからな。,討伐,FALSE,gold-coin*30|uncommon-weapon*1,,霜オオカミキル数:0:3,ダンジョンタイプ:氷晶洞窟
collector-q2,コレクターズ・リスト,これはちょうど私が必要としていたものだ。まだまだ集めなければならないものがたくさんあるが、まずは体を温めてくれ。準備ができたら、また次の仕事に来てくれ。まだまだやるべきことは終わっていないぞ。,納品,FALSE,gold-coin*30|uncommon-weapon*1|magic-protection-potion*3,ancient-scroll*1|gold-waterpot*1,古代のスクロール:0:1|ゴールドポット:0:1,
collector-q3,幸運の恩寵,いいじゃないか。これらは私が責任を持って届けておく。占い師と私は、時折他人に占いと奇妙な呪いの力を探し求めることがある。だが、何を言われようと知ったことじゃない。我々は、何をすべきかはっきりと分かっている。,納品,FALSE,gold-coin*30|arcane-essence*2,wooden-mask*2,木製の仮面:0:2,
collector-q4,平凡と非凡,物の本当の価値は、それを理解できる者の手にあってこそ輝く。これも例外ではない。ありがとう、君の力のおかげで手に入れる事ができた。君に対しての報酬がある。よくやった。,納品,FALSE,gold-coin*75|potion-of-protection*3|magic-protection-potion*3|surgical-kit*3,shackles*1,手錠:0:1,
collector-q5,氷雪山脈へ,なんとも不思議なものだ！こんな巨大な建造物を誰が建てたのだろう。将来、探検旅行の準備をする必要がある！,探索,FALSE,gold-coin*75|arcane-essence*4,,4つの道の場所を探索する:0:1,ダンジョンタイプ:氷晶洞窟
collector-q6,奇妙なコレクション,急いで！誰にも見られないように。渡して立ち去るんだ！,納品,FALSE,gold-coin*75|uncommon-armor*1|arcane-essence*2,bone*2|moldy-bread*2|wolf-fang*2,骨:0:2|カビたパン:0:2|オオカミの牙:0:2,
collector-q7,氷河の征服,なんと、君は自分の強さを証明してくれた。君を侮るべきではなかった。,討伐,FALSE,gold-coin*75|arcane-essence*2,potion-of-healing*1|potion-of-invisibility*1|potion-of-protection*1,スケルトンキル数:0:10,ダンジョンタイプ:氷晶洞窟
collector-q8,氷雪山脈の獣,実に見事だ。君のような冒険者を見たのは久しぶりだ。気を悪くしないでほしいが、君を試すつもりではなかったんだ。だが、多くの任務が苦い失敗に終わるのを見てきた。きっと君もその慎重さを理解してくれるだろう。まあ、君にはもう信頼を置いているし、それに見合った報酬を与えるつもりだ。,討伐,FALSE,gold-coin*100|rare-armor*2,,イエティキル数:0:1,ダンジョンタイプ:氷晶洞窟
collector-q9,病的なお土産,君は私にとってますます貴重な存在になってきている。また面白い取引ができたら、必ず連絡する。,納品,FALSE,gold-coin*100|rare-weapon*2,extra-thick-pelt*1|wolf-claw*1,厚みのある毛皮:0:1|オオカミの爪:0:1,
collector-q10,海への捧げ物,なんてことだ！縄で縛られて波間に沈められたと？驚くべきことだ。これは人魚伝説にまつわる何かが実際に起きたという有力な証拠となり得る。物語が語る通り、彼らは本当に生贄だったのか？それとも我々がまだ解明していない別の真実があるのか？興味深い。この場所は確かに詳しく調査する価値がある。,探索,FALSE,gold-coin*125|rare-armor*2,hardened-shell-fragment*4,人魚の墓の場所を探索する:0:1,ダンジョンタイプ:船の墓場
