id,title,description,type,repeatable,rewards,requiredItems,objectives,notes
navigator-q1,頑丈な船体のために,質は良いですね。これだけ丈夫な木材なら、簡単には壊れないでしょう。持ってきたもので、甲板と船体の修理を始めます。まだ作業が残っていますので、近いうちにまたお願いするかもしれません。,納品,FALSE,gold-coin*50|uncommon-armor*1|potion-of-healing*3|bandage*3||aquaglow-lantern*1,bavin*1||billet*1,大きな丸太:0:3|小さな丸太:0:3,
navigator-q2,風を包む布,生地は厚くて丈夫です。海に出ても問題ないでしょう。もう少し作業すれば完成できそうです。帆が風を受ける姿を見るのが待ちきれません。,納品,FALSE,gold-coin*50|trap-disarming-kit*2|ale*1|potion-of-healing*3,pincushion*1||sturdy-cloth*1,針刺し:0:1|頑丈な布:0:3,
navigator-q3,すべてを結びつける結び目,冒険者よ、ありがとう。あなたのおかげで、私の船は生まれ変わったようです。強固な船を迅速かつ安全に操るのが私の特技です。おそらく私は、この世で誰よりも蒼き海の近くを航海してきました。さあ、ついに海へ戻れます。,納品,FALSE,gold-coin*75|uncommon-weapon*1|uncommon-armor*1,old-rope*1||sturdy-rope*1,年季の入った縄:0:3|頑丈なロープ:0:1,
navigator-q4,過去の影,よくやってくれました。あの日の出来事は忘れられませんが…少しだけ気持ちが晴れた気がします。しかし、まだ始まりにすぎません。でも今はただ、ありがとうと言わせてください。,討伐,FALSE,gold-coin*75|arcane-essence*2,,海賊弓兵キル数:0:5|海賊剣士キル数:0:5,ダンジョンタイプ:船の墓場
navigator-q5,波下の棺,中にはあらゆる種類の物がありました。おそらく沈没船の残骸でしょうね。ある意味では、それらは形見、つまり戻ることのなかった者たちの足跡とも呼べるかもしれません。ご確認、感謝申し上げます。,操作,FALSE,gold-coin*100|uncommon-weapon*1,,人魚の棺の操作をする:0:10,ダンジョンタイプ:船の墓場
navigator-q6,価値の試練,私たちはそれぞれに強みがある。私は船の指揮はできますが、戦士ではありません。だからこそ、私の代わりに務めてくれる人、戦闘とサバイバルの両方に長けた人、復讐を成し遂げるのを助けてくれる人を探していました。冒険者よ、あなたの実力を見せてくれませんか？,生還,FALSE,gold-coin*100|uncommon-weapon*1|uncommon-armor*1|arcane-essence*2,,ダンジョンで生き残る:0:3,ダンジョンタイプ:船の墓場
navigator-q7,海の咆哮者,やりましたね。あなたのおかげで、偵察活動はしばらくは順調に進むはずです。今はただ、この地図が見つかることを祈るばかりです。海賊に捕まった時に取り上げられたものだから、きっと船の墓場のどこかにあるはずです。,討伐,FALSE,gold-coin*125|arcane-essence*2,,タイドウォーカー・こん棒兵キル数:0:7|タイドウォーカー・ブーメラン兵キル数:0:7|タイドウォーカー槍兵キル数:0:3,ダンジョンタイプ:船の墓場
navigator-q8,壊れた夢の破片,この地図は、弟の情熱が詰まった思い出の品です。考古学者だった弟は、私たち二人で古代遺跡や忘れられた航路の痕跡を探しました。いつか有益な手がかりが見つかったら、航海に出て探索しようと約束しました。どこかにそれがあるはずです。この地図がその始まりとなるでしょう。,納品,FALSE,gold-coin*125|rare-armor*1,old-nautical-chart-fragment*1,古い海図の断片:0:4,
navigator-q9,地図が指し示す場所,要塞のような構造物ですか？ということは、人間の手で建てられたに違いありません。もし弟が生きていたら、こんな発見にきっと興奮したことでしょう。私は航海士に過ぎないので、これ以上詳しくは言えませんが、研究する価値があることは私にもわかる。興味を持ちそうな考古学者を探してみることにします。私の弟のために。,探索,FALSE,gold-coin*150|rare-weapon*1,,海賊監獄の場所を探索する:0:1,ダンジョンタイプ:船の墓場
navigator-q10,忘れられない記憶,これは…これは私の仲間の日記です。彼は記録をつけるのが好きで、いつも好奇心旺盛で、学んだことを何でも書き留めていました。まさかまたこんなものを見ることになるとは思いませんでした。冒険者よ、ありがとう。本当に。,討伐・納品,FALSE,gold-coin*150|epic-armor*1,sailor's-journal*1,ウツボキル数:0:10|シーピラニアキル数0:10|航海日誌:0:1,ダンジョンタイプ:船の墓場
navigator-q11,星に刻まれた願い,真珠は本当に輝きを秘めている。そして珊瑚は…厚みがあって、今まで見たことのない不思議な質感だ。彼にも直接見てほしかった。残された日記と一緒に、彼の家族に届けなければ。,納品,FALSE,gold-coin*150|epic-weapon*1,coral-fragment*1||shining-pearl*1,サンゴの破片:0:3|輝く真珠:0:1,
navigator-q12,地図の向こうの道,私の古代の羅針盤は、その上に置かれた物に関係する場所を指し示しています。クロコディリアンの目をここに置けば、反応するはずですが…ふむ、遠い昔に放棄された土地を指しているようです。あの山は土砂に埋まり、今は何も生息していないと聞いていますが…これは調査が必要です。,討伐・納品,FALSE,gold-coin*200|epic-weapon*1|epic-armor*1|arcane-essence*2,crocodilian-eyeball*1,クロコディリアンキル数:0:1|クロコディリアンの眼球:0:1,ダンジョンタイプ:船の墓場
navigator-q13,海賊の隠れ家,確認いただきありがとうございます。どうやら奴らの武器は私が心配していたほど状態が良くなく、隠している物もそれほど多くないようです。今必要なのは、奴らを上回る腕を持つ者。冒険者よ、まさにあなたのような方が必要です。,探索,FALSE,gold-coin*200|legendary-weapon*1,,円形島の場所を探索する:0:1|浮かぶ村の場所を探索する:0:1|吊り下げ船の場所を探索する:0:1|岩島の場所を探索する:0:1,ダンジョンタイプ:船の墓場
navigator-q14,忠誠の代償,やりましたね。彼らを止めることは出来ないと思っていましたが…それでも…たどり着きました。ついに勝利です。さあ、あと一つだけやるべきことが残っています。冒険者よ、最後にもう一度、あなたの力が必要です。,討伐,FALSE,gold-coin*200|legendary-armor*2,,海賊投げ斧兵キル数:0:10|海賊弓兵キル数:0:20|海賊剣士キル数:0:20,ダンジョンタイプ:船の墓場
navigator-q15,絶望の終焉,キャプテン・ブレードハンドの名を知らない船乗りはこの世にいない。あの忌々しい海賊は、私の心に深い傷を残しました。彼の襲撃を生き延びた日から、私は復讐の機会を待ち続けてきた。今、すべてが整いました。冒険者よ、彼に終わりをもたらしてください。,討伐,FALSE,gold-coin*300|legendary-weapon*1|legendary-armor*1|arcane-essence*2,,ブレードハンドキル数:0:1,ダンジョンタイプ:船の墓場
