id,title,description,type,repeatable,rewards,requiredItems,objectives,notes
tailor-q1,最先端,あなたはまだ手ごたえを失っていないようだ。でも、まだ終わったとは思わないでほしい。これはもっと大きなもの、もっと複雑なものの始まりに過ぎない。すぐに次の段階に移る。準備ができたら、また戻ってきてくれ。そしてこの作業を続けよう。,討伐,FALSE,gold-coin*35|uncommon-armor*1,,スケルトン兵士キル数:0:5|スケルトン両手剣士キル数:0:5,ダンジョンタイプ:忘れられた城
tailor-q2,風化してしまったもの,ということは、死んでも生きてもいないものだったのですね。一体、これらの呪われた生物はどこから来たのでしょう？遠征から帰ってきた人がかなり奇妙な状態でいるという話も伺いました。何か関係があるのではないかと思わずにはいられません。これは調べてみなければなりませんね。,納品,FALSE,gold-coin*35|arcane-essence*2,rotten-fluids*1|sturdy-cloth*1,腐った体液:0:1|頑丈な布:0:2,
tailor-q3,祭壇の血痕,よくやった。手がかりはそこにあるが、この呪いが思ったほど単純でないことはわかる。奥に進めば進むほど複雑になる。私の知り合いで、この件に詳しい商人に相談したほうがいいかもしれない。,探索,FALSE,gold-coin*50|uncommon-weapon*1|uncommon-armor*1|arcane-essence*2,,血塗られた遺壇の場所を探索する:0:1,ダンジョンタイプ:忘れられた城
tailor-q4,重荷の獣,よくやった。でももう野生にはもう飽きたようだね。この呪いは単なる自然の誤りではない。この背後に何かがあり、私たちの周りの壁を締め続けている何かがある。,討伐,FALSE,gold-coin*50|uncommon-armor*2,,ダイアウルフキル数:0:3|追跡ゴーレムキル数:0:1,ダンジョンタイプ:忘れられた城
tailor-q5,独自の健康法,良くなった、かなり良くなった。以前ほどの混乱はなくなりましたが、まだ終わったとは程遠い。さて、目の前の仕事に戻るとしよう。誰かと話をする必要がある。準備ができたら、ここで会おう。,操作,FALSE,gold-coin*50|uncommon-armor*1|arcane-essence*2,,回復の祠の操作をする:0:3,ダンジョンタイプ:忘れられた城|１試合中
tailor-q6,ぼろぼろ,ああ、これらの材料があれば、私は奇跡を起こすことができる。魔法を織り込んでみよう。ほら、これで君は私と一緒に見られても構わない人のように見える。,納品,FALSE,gold-coin*50|uncommon-weapon*2,old-bloody-bandage*1|spider-silk*1,古い血まみれの包帯:0:1|蜘蛛の絹:0:1,
tailor-q7,タールと繊維,うーん、この生地は厚くて粗い。このままではきちんとした衣服には向かないな。縫うだけでも丈夫な糸が必要だ。それでも防水性があるのはなかなか魅力的だ。このタールをどう活用できるか、考えなければならない。,納品,FALSE,gold-coin*100|rare-weapon*2,tar*1|torn-sail*1,タール:0:3|破けた帆:0:3,
tailor-q8,インクの可能性,素晴らしい。こんなに良い状態を保つのは大変だったろう。おかげで、いくつかテストすることができた。また次のものをよこせ。,討伐・納品,FALSE,gold-coin*100|rare-armor*1|arcane-essence*2,cuttlefish-ink-sac*1,コウイカキル数:0:2|コウイカの墨袋:0:1,ダンジョンタイプ:船の墓場
tailor-q9,輝く布,この液体は、本当に魅力的だ！日中は柔らかな光を放ち、夜はさらに輝きを増す。手先での感触も格別だ。どんな風に、どこに使おうかと考えるだけで、何日も眠れなくなりそうだ。本当に感謝しているよ！,討伐・納品,FALSE,gold-coin*100|rare-weapon*2,iellyfish-glow-essence*1,クラゲキル数:0:7|クラゲの蛍光エッセンス:0:1,ダンジョンタイプ:船の墓場
tailor-q10,冷たくあしらう,氷雪山脈の厳しい寒さは、私の生存が不確かだった頃の記憶を呼び起こす。それでも私はここに立っている。今、最も重要なことは、今度の流れが終わるワケで私の地位を確保することだ。それは確かだ。私は集中して手に入れていくものを選ばなくてはならない。,討伐・生還,FALSE,gold-coin*150|rare-armor*2,,フローズン・ゴーストキル数:0:3|ダンジョンで生き残る:0:2,ダンジョンタイプ:氷晶洞窟|連続して脱出すること
tailor-q11,貴族たちの嘆き,いつもながら模範的な仕事だ！今の地位を築くために懸命に働いてきたし、養子縁組した家族からの信頼にはこれ以上応えられない。だから、この土地をより安全にし、富裕層がここに投資し続けられるようにするために力を貸してくれ。,討伐,FALSE,gold-coin*150|epic-armor*1,,霜の悪魔キル数:0:3|氷の番犬キル数:0:5|ウェンディゴキル数:0:3,ダンジョンタイプ:氷晶洞窟
tailor-q12,偽装潜入,流石だ。材料を手に入れたらしいな。君が損をすることはないだろうな、きっと偽装だとバレるだろうから。この慎重な任務を遂行するために、闇の信奉者候補に変装させる人物を考えている。,納品,FALSE,gold-coin*150|arcane-essence*4,enchanted-dark-fabric*1|wendigo's-sharp-claws*1,闇で染められた織物:0:3|ウェンディゴの鋭い爪:0:1,
tailor-q13,不快な依頼,わかった。君の勇敢な物語を、若き領主の好みにあうように少しだけ脚色して届けよう。我々にとっては日常に過ぎないことでも、あの人たちにとってはまるで幻想の物語なのだからな。,討伐,FALSE,gold-coin*200|epic-weapon*1|epic-armor*1|arcane-essence*2,,氷スケルトン弓兵キル数:0:15|氷スケルトン斧兵キル数:0:10|氷スケルトン・クロスボウ兵キル数:0:5|氷スケルトン片手剣士キル数:0:15|氷スケルトン兵士キル数:0:15|氷スケルトン・ハルバード兵キル数:0:10|氷スケルトン・メイス兵キル数:0:10,ダンジョンタイプ:氷晶洞窟
tailor-q14,氷山遠征の物語,ああ、使えそうなものがいくつかあるな。少し飾りをつければ、立派な物語になるはずだ。ありがとう。でも、前回と同じで気づいてしまったんだが…君は物語を語る能力がないようだな。,探索,FALSE,gold-coin*200|epic-weapon*1|epic-armor*1|arcane-essence*2,,4つの道に一定時間滞在する:0:1|ピラミッドに一定時間滞在する:0:1|ワイバーンの巣に一定時間滞在する:0:1,ダンジョンタイプ:氷晶洞窟
tailor-q15,幻想と現実,よし、これで十分だ。うんざりするほどだ。さて、これをつなぎ合わせて、うまくまとめよう…あまり心配しないで。必要最低限しか見せない。これで若き領主が愚かな夢を捨ててくれるといいんだが。,納品,FALSE,gold-coin*200|epic-weapon*1|epic-armor*1|arcane-essence*2,bowstring*1|kobold's-ear*1,弓の弦:0:1|コボルトの耳:0:25,
